depart_date,origin,destination,value
2024-05-28,WAS,MEL,765
2024-05-05,WAS,MEL,770
2024-05-14,WAS,MEL,770
2024-05-27,WAS,MEL,770
2024-05-04,WAS,MEL,795
2024-05-22,WAS,MEL,805
2024-05-12,WAS,MEL,810
2024-05-18,WAS,MEL,830
2024-05-02,WAS,MEL,835
2024-05-16,WAS,MEL,835
2024-05-17,WAS,MEL,835
2024-05-30,WAS,MEL,835
2024-05-13,WAS,MEL,855
2024-05-20,WAS,MEL,856
2024-05-31,WAS,MEL,875
2024-05-08,WAS,MEL,884
2024-05-21,WAS,MEL,884
2024-05-23,WAS,MEL,885
2024-05-26,WAS,MEL,908
2024-05-19,WAS,MEL,943
2024-05-06,WAS,MEL,1157
2024-05-04,WAS,MEL,1197
2024-05-14,WAS,MEL,1211
2024-05-15,WAS,MEL,1211
2024-05-21,WAS,MEL,1211
2024-05-12,WAS,MEL,1231
2024-05-01,WAS,MEL,1232
2024-05-29,WAS,MEL,1232
