location,country_name,meeting_name,1. open,2. high,3. low,4. close,5. volume,date
Sakhir,Bahrain,Pre-Season Testing,69.3700,70.6500,69.3700,70.2700,387475,2023-02-23
Sakhir,Bahrain,Bahrain Grand Prix,72.8900,75.5400,72.8900,75.1200,2132756,2023-03-03
Jeddah,Saudi Arabia,Saudi Arabian Grand Prix,72.1300,73.1025,71.4800,71.6500,1084827,2023-03-17
Melbourne,Australia,Australian Grand Prix,75.5000,75.7432,74.3500,74.8300,1192431,2023-03-31
Baku,Azerbaijan,Azerbaijan Grand Prix,70.8400,72.5700,70.1001,72.1900,378038,2023-04-28
Miami,United States,Miami Grand Prix,70.5300,74.7200,70.2100,73.4700,1243981,2023-05-05
Monaco,Monaco,Monaco Grand Prix,70.3900,72.1400,69.9350,71.4000,815909,2023-05-26
Barcelona,Spain,Spanish Grand Prix,71.4000,71.9500,71.1300,71.8600,957731,2023-06-02
Montréal,Canada,Canadian Grand Prix,80.1300,80.1300,76.8900,78.0900,1625131,2023-06-16
Spielberg,Austria,Austrian Grand Prix,75.3800,75.9000,74.9100,75.2800,1140617,2023-06-30
Silverstone,Great Britain,British Grand Prix,74.5200,75.6700,74.0000,74.1100,1073073,2023-07-07
Budapest,Hungary,Hungarian Grand Prix,72.1200,73.0300,71.6900,72.9600,953096,2023-07-21
Spa-Francorchamps,Belgium,Belgian Grand Prix,72.3600,73.1000,72.1600,72.5100,693261,2023-07-28
Zandvoort,Netherlands,Dutch Grand Prix,64.3100,64.9000,63.7000,64.4500,550372,2023-08-25
Monza,Italy,Italian Grand Prix,69.0000,69.3900,67.4001,69.0300,777494,2023-09-01
Marina Bay,Singapore,Singapore Grand Prix,68.0000,68.4350,66.8600,66.9200,2433652,2023-09-15
Suzuka,Japan,Japanese Grand Prix,63.7000,64.4400,62.9900,63.0400,853722,2023-09-22
Lusail,Qatar,Qatar Grand Prix,68.1200,69.6350,67.5639,69.0800,764201,2023-10-06
Austin,United States,United States Grand Prix,68.8700,68.9800,66.7800,66.9100,705603,2023-10-20
Mexico City,Mexico,Mexico City Grand Prix,64.6200,66.0100,63.6500,64.3600,691128,2023-10-27
São Paulo,Brazil,São Paulo Grand Prix,63.7200,66.4650,63.1800,65.2300,1298320,2023-11-03
Las Vegas,United States,Las Vegas Grand Prix,63.8500,64.0346,61.6400,63.8600,1338583,2023-11-17
Yas Island,United Arab Emirates,Abu Dhabi Grand Prix,65.0000,66.0200,65.0000,65.9900,267148,2023-11-24
Sakhir,Bahrain,Bahrain Grand Prix,70.4300,73.0850,70.4300,72.7600,2200966,2024-02-29
Jeddah,Saudi Arabia,Saudi Arabian Grand Prix,70.6700,71.4100,70.4000,71.0100,599349,2024-03-07
Melbourne,Australia,Australian Grand Prix,67.3200,67.3200,66.3900,67.2400,718456,2024-03-22
